state;x;y
Amazônia;-183;147
Acre;-247;56
Roraima;-144;245
Rondônia;-156;46
Pará;-29;138
Amapá;-2;222
Mato Grosso;-56;14
Maranhão;92;129
Piauí;118;80
Tocantins;46;48
Ceará;173;131
Rio Grande do Norte;277;116
Paraíba;230;96
Pernambuco;225;75
Alagoas;240;58
Sergipe;211;45
Bahia;137;28
Minas Gerais;103;-70
Espírito Santo;210;-80
Rio de Janeiro;157;-118
São Paulo;44;-122
Paraná;2;-151
Santa Catarina;55;-186
Rio Grande do Sul;-18;-223
Mato Grosso do Sul;-41;-88
Goiás;24;-39
DF;56;-21
